country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,region/_source,alliance/_text,rm_prod,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil_reserves,oil_prod,uranium,reactor
Crapostan,King Guamba,http://blocgame.com/alliancestats.php?allianceid=1568,379k active personnel,25 ships,Persian Gulf War surplus,Gandhi-like,16 factories,Elite,last online 2 hours ago,rankings.php?subregion=mes,Brotherhood of Zion,36 Hundred Tons per month,$4930 million,alliancestats.php?allianceid=1568,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,70662 km 2,http://blocgame.com/stats.php?id=44789,,91 Mbbl per month,,
Gīlān,Kuchik Gul,http://blocgame.com/alliancestats.php?allianceid=1580,132k active personnel,-1 ships,Vietnam War surplus,Gandhi-like,3 factories,Elite,last online 24 hours ago,rankings.php?subregion=per,Brotherhood of Nod,5 Hundred Tons per month,$4923 million,alliancestats.php?allianceid=1580,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,1848 km 2,http://blocgame.com/stats.php?id=54430,1283 Mbbl,3 Mbbl per month,,
Ketroyla,Erolvant,http://blocgame.com/alliancestats.php?allianceid=1580,48k active personnel,10 ships,Vietnam War surplus,Angelic,3 factories,Good,last online 9 hours ago,rankings.php?subregion=sea,Brotherhood of Nod,7 Hundred Tons per month,$4913 million,alliancestats.php?allianceid=1580,Indochina,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=sea,15692 km 2,http://blocgame.com/stats.php?id=55951,,6 Mbbl per month,,
Nerdia,TheKyu,http://blocgame.com/alliancestats.php?allianceid=1580,191k active personnel,32 ships,Almost Modern,Gandhi-like,10 factories,Poor,last online 1 hours ago,rankings.php?subregion=car,Brotherhood of Nod,82 Hundred Tons per month,$4886 million,alliancestats.php?allianceid=1580,Caribbean,,Powerful,http://blocgame.com/rankings.php?subregion=car,69856 km 2,http://blocgame.com/stats.php?id=56451,,25 Mbbl per month,,10%
TheDankLight,TheDankDark,http://blocgame.com/alliancestats.php?allianceid=1595,106k active personnel,18 ships,Korean War surplus,Gandhi-like,6 factories,Elite,last online 4 hours ago,rankings.php?subregion=per,The High Council,20 Hundred Tons per month,$4882 million,alliancestats.php?allianceid=1595,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,34568 km 2,http://blocgame.com/stats.php?id=60950,4920 Mbbl,20 Mbbl per month,,
Alamo,linksith,http://blocgame.com/alliancestats.php?allianceid=1595,8k active personnel,3 ships,Vietnam War surplus,Gandhi-like,3 factories,Undisciplined Rabble,last online 154 hours ago,rankings.php?subregion=mes,The High Council,6 Hundred Tons per month,$4878 million,alliancestats.php?allianceid=1595,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,11767 km 2,http://blocgame.com/stats.php?id=40536,5417 Mbbl,19 Mbbl per month,,
Beausch�n,canadianghetto,http://blocgame.com/alliancestats.php?allianceid=1568,164k active personnel,15 ships,Vietnam War surplus,Gandhi-like,4 factories,Elite,last online 1 hours ago,rankings.php?subregion=ara,Brotherhood of Zion,12 Hundred Tons per month,$4849 million,alliancestats.php?allianceid=1568,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,31335 km 2,http://blocgame.com/stats.php?id=59455,,19 Mbbl per month,,
Yummy Foods,iiruka,http://blocgame.com/alliancestats.php?allianceid=1382,458k active personnel,51 ships,Advanced,Gandhi-like,22 factories,Elite,last online 7 hours ago,rankings.php?subregion=pac,Non-Aligned Movement,150 Hundred Tons per month,$4838 million,alliancestats.php?allianceid=1382,Pacific Rim,,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,123721 km 2,http://blocgame.com/stats.php?id=54376,,50 Mbbl per month,,
kabdy,NitroBAY,http://blocgame.com/alliancestats.php?allianceid=1595,309k active personnel,29 ships,Almost Modern,Gandhi-like,10 factories,Standard,last online 2 hours ago,rankings.php?subregion=ama,The High Council,64 Hundred Tons per month,$4835 million,alliancestats.php?allianceid=1595,Amazonia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,37856 km 2,http://blocgame.com/stats.php?id=58731,,16 Mbbl per month,,
Kedahan,Farhan,http://blocgame.com/alliancestats.php?allianceid=1899,166k active personnel,13 ships,Korean War surplus,Gandhi-like,4 factories,Standard,last online 10 hours ago,rankings.php?subregion=ind,Aseang MMP,32 Hundred Tons per month,$4812 million,alliancestats.php?allianceid=1899,East Indies,Near Depletion,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60758,204 Mbbl,13 Mbbl per month,,5%
Dutchistan,FrankehW,http://blocgame.com/alliancestats.php?allianceid=1568,119k active personnel,3 ships,Korean War surplus,Gandhi-like,4 factories,Elite,online now,rankings.php?subregion=ama,Brotherhood of Zion,24 Hundred Tons per month,$4787 million,alliancestats.php?allianceid=1568,Amazonia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,26633 km 2,http://blocgame.com/stats.php?id=61032,453 Mbbl,14 Mbbl per month,,
Roarspekistan,roar,http://blocgame.com/alliancestats.php?allianceid=1835,5k active personnel,3 ships,First World War surplus,Gandhi-like,3 factories,Good,last online 182 hours ago,rankings.php?subregion=gra,SPQR,10 Hundred Tons per month,$4771 million,alliancestats.php?allianceid=1835,Gran Colombia,Untapped,Small,http://blocgame.com/rankings.php?subregion=gra,11175 km 2,http://blocgame.com/stats.php?id=59084,195 Mbbl,6 Mbbl per month,,
Sanlucia,johnnylaw1990,http://blocgame.com/alliancestats.php?allianceid=1568,103k active personnel,0 ships,Vietnam War surplus,Gandhi-like,1 factory,Elite,last online 2 hours ago,rankings.php?subregion=ara,Brotherhood of Zion,22 Hundred Tons per month,$4770 million,alliancestats.php?allianceid=1568,Arabia,Depleted,Somewhat Large,http://blocgame.com/rankings.php?subregion=ara,17361 km 2,http://blocgame.com/stats.php?id=59921,14633 Mbbl,22 Mbbl per month,,
Storm,StormFire,http://blocgame.com/alliancestats.php?allianceid=1595,60k active personnel,20 ships,Korean War surplus,Nice,6 factories,Elite,last online 78 hours ago,rankings.php?subregion=atl,The High Council,34 Hundred Tons per month,$4747 million,alliancestats.php?allianceid=1595,Atlas,,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,31194 km 2,http://blocgame.com/stats.php?id=60401,,38 Mbbl per month,,
Doctorliasia,Lord Hillsworth,http://blocgame.com/alliancestats.php?allianceid=1899,9k active personnel,6 ships,First World War surplus,Gandhi-like,3 factories,Good,last online 55 hours ago,rankings.php?subregion=pac,Aseang MMP,24 Hundred Tons per month,$4728 million,alliancestats.php?allianceid=1899,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,19404 km 2,http://blocgame.com/stats.php?id=60284,,25 Mbbl per month,,
Selayang,mhmz89,http://blocgame.com/alliancestats.php?allianceid=1899,10k active personnel,3 ships,Korean War surplus,Questionable,3 factories,Undisciplined Rabble,last online 8 hours ago,rankings.php?subregion=ind,Aseang MMP,7 Hundred Tons per month,$4727 million,alliancestats.php?allianceid=1899,East Indies,,Meagre,http://blocgame.com/rankings.php?subregion=ind,23426 km 2,http://blocgame.com/stats.php?id=60642,3 Mbbl,11 Mbbl per month,,
malays only,amril3036,http://blocgame.com/alliancestats.php?allianceid=1899,29k active personnel,0 ships,First World War surplus,Good,3 factories,Undisciplined Rabble,online now,rankings.php?subregion=sea,Aseang MMP,13 Hundred Tons per month,$4721 million,alliancestats.php?allianceid=1899,Indochina,Depleted,Mediocre,http://blocgame.com/rankings.php?subregion=sea,16028 km 2,http://blocgame.com/stats.php?id=60591,228 Mbbl,14 Mbbl per month,,
new aussie land,benj,,3k active personnel,3 ships,Korean War surplus,Questionable,3 factories,Undisciplined Rabble,last online 134 hours ago,rankings.php?subregion=car,,10 Hundred Tons per month,$4708 million,,Caribbean,Untapped,Powerful,http://blocgame.com/rankings.php?subregion=car,3593 km 2,http://blocgame.com/stats.php?id=52750,,13 Mbbl per month,,
staminamina,nazayie,http://blocgame.com/alliancestats.php?allianceid=1899,8k active personnel,-1 ships,Korean War surplus,Gandhi-like,2 factories,Good,last online 158 hours ago,rankings.php?subregion=ind,Aseang MMP,14 Hundred Tons per month,$4692 million,alliancestats.php?allianceid=1899,East Indies,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=ind,11459 km 2,http://blocgame.com/stats.php?id=60523,,16 Mbbl per month,,
Englolia,Mcripfist,http://blocgame.com/alliancestats.php?allianceid=1595,14k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 51 hours ago,rankings.php?subregion=eaf,The High Council,10 Hundred Tons per month,$4688 million,alliancestats.php?allianceid=1595,East Africa,Untapped,Small,http://blocgame.com/rankings.php?subregion=eaf,16667 km 2,http://blocgame.com/stats.php?id=55796,,11 Mbbl per month,,
Cratela,Arthur,http://blocgame.com/alliancestats.php?allianceid=1595,203k active personnel,25 ships,Second World War surplus,Gandhi-like,9 factories,Elite,online now,rankings.php?subregion=egy,The High Council,50 Hundred Tons per month,$4686 million,alliancestats.php?allianceid=1595,Egypt,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,67138 km 2,http://blocgame.com/stats.php?id=61179,10372 Mbbl,25 Mbbl per month,,
Dondang Sayang,Cempaka Sari,http://blocgame.com/alliancestats.php?allianceid=1899,261k active personnel,18 ships,Korean War surplus,Gandhi-like,7 factories,Poor,last online 10 hours ago,rankings.php?subregion=ind,Aseang MMP,25 Hundred Tons per month,$4674 million,alliancestats.php?allianceid=1899,East Indies,Near Depletion,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,29006 km 2,http://blocgame.com/stats.php?id=60628,,15 Mbbl per month,,
Spartan lsnd,Josepgreen,,75k active personnel,8 ships,Second World War surplus,Normal,4 factories,Elite,last online 4 hours ago,rankings.php?subregion=atl,,14 Hundred Tons per month,$4619 million,,Atlas,,Small,http://blocgame.com/rankings.php?subregion=atl,18787 km 2,http://blocgame.com/stats.php?id=59652,,12 Mbbl per month,,
Fliyt-Plann,See-Ay Yeeh,http://blocgame.com/alliancestats.php?allianceid=1599,103k active personnel,6 ships,Korean War surplus,Gandhi-like,4 factories,Standard,last online 174 hours ago,rankings.php?subregion=gui,Wreckage brothers,22 Hundred Tons per month,$4560 million,alliancestats.php?allianceid=1599,Guinea,Untapped,Large,http://blocgame.com/rankings.php?subregion=gui,20000 km 2,http://blocgame.com/stats.php?id=60953,,10 Mbbl per month,,
Ahmad Maslan,ahmad maslan,http://blocgame.com/alliancestats.php?allianceid=1899,53k active personnel,9 ships,Vietnam War surplus,Gandhi-like,4 factories,Good,online now,rankings.php?subregion=pac,Aseang MMP,18 Hundred Tons per month,$4549 million,alliancestats.php?allianceid=1899,Pacific Rim,,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,18996 km 2,http://blocgame.com/stats.php?id=60745,254 Mbbl,20 Mbbl per month,,
Argos,Arkadios,http://blocgame.com/alliancestats.php?allianceid=1382,4k active personnel,6 ships,Almost Modern,Normal,3 factories,Undisciplined Rabble,online now,rankings.php?subregion=chi,Non-Aligned Movement,80 Hundred Tons per month,$4526 million,alliancestats.php?allianceid=1382,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,44807 km 2,http://blocgame.com/stats.php?id=43443,,22 Mbbl per month,,
Harezland,Adam harez,http://blocgame.com/alliancestats.php?allianceid=1899,12k active personnel,11 ships,Second World War surplus,Normal,5 factories,Good,last online 5 hours ago,rankings.php?subregion=pac,Aseang MMP,16 Hundred Tons per month,$4501 million,alliancestats.php?allianceid=1899,Pacific Rim,Depleted,Meagre,http://blocgame.com/rankings.php?subregion=pac,25756 km 2,http://blocgame.com/stats.php?id=60587,310 Mbbl,14 Mbbl per month,,
Mortar Head,Caffan,http://blocgame.com/alliancestats.php?allianceid=1899,85k active personnel,8 ships,Korean War surplus,Gandhi-like,4 factories,Good,last online 91 hours ago,rankings.php?subregion=pac,Aseang MMP,13 Hundred Tons per month,$4475 million,alliancestats.php?allianceid=1899,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,16335 km 2,http://blocgame.com/stats.php?id=60583,,9 Mbbl per month,,
New Canaan,Joshua Graham,http://blocgame.com/alliancestats.php?allianceid=1595,97k active personnel,6 ships,Vietnam War surplus,Gandhi-like,4 factories,Elite,last online 3 hours ago,rankings.php?subregion=mes,The High Council,24 Hundred Tons per month,$4464 million,alliancestats.php?allianceid=1595,Mesopotamia,Plentiful,Large,http://blocgame.com/rankings.php?subregion=mes,25126 km 2,http://blocgame.com/stats.php?id=59416,,19 Mbbl per month,,5%
FaREiQ,fareiq,http://blocgame.com/alliancestats.php?allianceid=1899,22k active personnel,1 ships,Second World War surplus,Gandhi-like,5 factories,Good,last online 83 hours ago,rankings.php?subregion=ind,Aseang MMP,29 Hundred Tons per month,$4410 million,alliancestats.php?allianceid=1899,East Indies,Untapped,Large,http://blocgame.com/rankings.php?subregion=ind,27605 km 2,http://blocgame.com/stats.php?id=60369,,18 Mbbl per month,,
Daphnestan,Daoapin,http://blocgame.com/alliancestats.php?allianceid=1595,4k active personnel,5 ships,Korean War surplus,Questionable,4 factories,Standard,last online 50 hours ago,rankings.php?subregion=ind,The High Council,33 Hundred Tons per month,$4401 million,alliancestats.php?allianceid=1595,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,32183 km 2,http://blocgame.com/stats.php?id=59475,,26 Mbbl per month,,
Ralu,Ramar,http://blocgame.com/alliancestats.php?allianceid=1595,69k active personnel,5 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 4 hours ago,rankings.php?subregion=ama,The High Council,25 Hundred Tons per month,$4396 million,alliancestats.php?allianceid=1595,Amazonia,Untapped,Large,http://blocgame.com/rankings.php?subregion=ama,20735 km 2,http://blocgame.com/stats.php?id=59527,,24 Mbbl per month,,
Jambongan,Jambongan,http://blocgame.com/alliancestats.php?allianceid=1899,5k active personnel,0 ships,Second World War surplus,Gandhi-like,4 factories,Undisciplined Rabble,last online 89 hours ago,rankings.php?subregion=ind,Aseang MMP,17 Hundred Tons per month,$4389 million,alliancestats.php?allianceid=1899,East Indies,,Mediocre,http://blocgame.com/rankings.php?subregion=ind,18577 km 2,http://blocgame.com/stats.php?id=60807,,20 Mbbl per month,,
Novi Sad,Serbian Gamer,http://blocgame.com/alliancestats.php?allianceid=1393,90k active personnel,4 ships,Korean War surplus,Gandhi-like,4 factories,Elite,last online 14 hours ago,rankings.php?subregion=egy,BAMF,27 Hundred Tons per month,$4372 million,alliancestats.php?allianceid=1393,Egypt,Untapped,Powerful,http://blocgame.com/rankings.php?subregion=egy,21373 km 2,http://blocgame.com/stats.php?id=60752,10919 Mbbl,21 Mbbl per month,,
Markoviakia,Luako,http://blocgame.com/alliancestats.php?allianceid=1393,1k active personnel,0 ships,Korean War surplus,Gandhi-like,1 factory,Undisciplined Rabble,last online 17 hours ago,rankings.php?subregion=waf,BAMF,6 Hundred Tons per month,$4343 million,alliancestats.php?allianceid=1393,West Africa,Untapped,None,http://blocgame.com/rankings.php?subregion=waf,5310 km 2,http://blocgame.com/stats.php?id=57239,,6 Mbbl per month,,
Shatmapants,Penguin,http://blocgame.com/alliancestats.php?allianceid=1580,94k active personnel,12 ships,Vietnam War surplus,Gandhi-like,4 factories,Elite,last online 6 hours ago,rankings.php?subregion=car,Brotherhood of Nod,12 Hundred Tons per month,$4337 million,alliancestats.php?allianceid=1580,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,26178 km 2,http://blocgame.com/stats.php?id=58425,,19 Mbbl per month,,
sandakania,Ryan Kentang,http://blocgame.com/alliancestats.php?allianceid=1899,244k active personnel,15 ships,Korean War surplus,Good,10 factories,Standard,last online 6 hours ago,rankings.php?subregion=ind,Aseang MMP,45 Hundred Tons per month,$4296 million,alliancestats.php?allianceid=1899,East Indies,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,45776 km 2,http://blocgame.com/stats.php?id=60600,,28 Mbbl per month,,
Utopia,Ozymandias,http://blocgame.com/alliancestats.php?allianceid=1393,1031k active personnel,78 ships,Advanced,Gandhi-like,43 factories,Standard,online now,rankings.php?subregion=ara,BAMF,164 Hundred Tons per month,$4282 million,alliancestats.php?allianceid=1393,Arabia,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,323307 km 2,http://blocgame.com/stats.php?id=40759,,300 Mbbl per month,1 Tons,
HiredGun,FreeCharge,http://blocgame.com/alliancestats.php?allianceid=1599,329k active personnel,69 ships,Advanced,Gandhi-like,16 factories,Elite,last online 5 hours ago,rankings.php?subregion=egy,Wreckage brothers,30 Hundred Tons per month,$4262 million,alliancestats.php?allianceid=1599,Egypt,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,84744 km 2,http://blocgame.com/stats.php?id=53353,,103 Mbbl per month,,
N.U.,keroro,http://blocgame.com/alliancestats.php?allianceid=1595,17k active personnel,8 ships,Second World War surplus,Gandhi-like,3 factories,Undisciplined Rabble,last online 2 hours ago,rankings.php?subregion=chi,The High Council,18 Hundred Tons per month,$4248 million,alliancestats.php?allianceid=1595,China,Untapped,Somewhat Large,http://blocgame.com/rankings.php?subregion=chi,24600 km 2,http://blocgame.com/stats.php?id=61145,90 Mbbl,10 Mbbl per month,,
Jebawka,Shetay,http://blocgame.com/alliancestats.php?allianceid=1580,25k active personnel,9 ships,Almost Modern,Gandhi-like,4 factories,Elite,last online 31 hours ago,rankings.php?subregion=mes,Brotherhood of Nod,7 Hundred Tons per month,$4244 million,alliancestats.php?allianceid=1580,Mesopotamia,Untapped,Somewhat Large,http://blocgame.com/rankings.php?subregion=mes,13520 km 2,http://blocgame.com/stats.php?id=54304,,9 Mbbl per month,,
Magna Bonom,Krull,http://blocgame.com/alliancestats.php?allianceid=1580,213k active personnel,26 ships,Almost Modern,Questionable,10 factories,Elite,last online 9 hours ago,rankings.php?subregion=egy,Brotherhood of Nod,35 Hundred Tons per month,$4235 million,alliancestats.php?allianceid=1580,Egypt,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,55853 km 2,http://blocgame.com/stats.php?id=59435,2827 Mbbl,68 Mbbl per month,,
Akhlaken,GaGaK,http://blocgame.com/alliancestats.php?allianceid=1899,818k active personnel,22 ships,Almost Modern,Normal,7 factories,Poor,last online 13 hours ago,rankings.php?subregion=ind,Aseang MMP,16 Hundred Tons per month,$4213 million,alliancestats.php?allianceid=1899,East Indies,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,24662 km 2,http://blocgame.com/stats.php?id=60346,,14 Mbbl per month,,5%
Darkstone,Trakel,http://blocgame.com/alliancestats.php?allianceid=1393,352k active personnel,20 ships,Persian Gulf War surplus,Gandhi-like,15 factories,Good,last online 1 hours ago,rankings.php?subregion=pac,BAMF,112 Hundred Tons per month,$4206 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,115060 km 2,http://blocgame.com/stats.php?id=57176,,21 Mbbl per month,,
Novoslavija,Rade Latinovic,http://blocgame.com/alliancestats.php?allianceid=1393,126k active personnel,12 ships,Korean War surplus,Gandhi-like,5 factories,Good,last online 10 hours ago,rankings.php?subregion=pac,BAMF,19 Hundred Tons per month,$4189 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,40065 km 2,http://blocgame.com/stats.php?id=60204,,18 Mbbl per month,1 Tons,
eQna8,Dave_Smith,http://blocgame.com/alliancestats.php?allianceid=1393,271k active personnel,51 ships,Persian Gulf War surplus,Gandhi-like,16 factories,Good,online now,rankings.php?subregion=congo,BAMF,200 Hundred Tons per month,$4186 million,alliancestats.php?allianceid=1393,Congo,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=congo,113791 km 2,http://blocgame.com/stats.php?id=48695,783 Mbbl,1 Mbbl per month,,
malapetaka,bolawei9,http://blocgame.com/alliancestats.php?allianceid=1595,23k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 28 hours ago,rankings.php?subregion=ind,The High Council,7 Hundred Tons per month,$4181 million,alliancestats.php?allianceid=1595,East Indies,Untapped,Powerful,http://blocgame.com/rankings.php?subregion=ind,7570 km 2,http://blocgame.com/stats.php?id=60813,,4 Mbbl per month,,
Emberica,Whynamewhy,http://blocgame.com/alliancestats.php?allianceid=1568,80k active personnel,9 ships,Korean War surplus,Gandhi-like,3 factories,Elite,last online 8 hours ago,rankings.php?subregion=per,Brotherhood of Zion,12 Hundred Tons per month,$4143 million,alliancestats.php?allianceid=1568,Persia,Near Depletion,Large,http://blocgame.com/rankings.php?subregion=per,22541 km 2,http://blocgame.com/stats.php?id=60147,,12 Mbbl per month,,
CTSKRR,CTSKRR,http://blocgame.com/alliancestats.php?allianceid=1595,39k active personnel,7 ships,Korean War surplus,Gandhi-like,4 factories,Elite,last online 8 hours ago,rankings.php?subregion=chi,The High Council,9 Hundred Tons per month,$4139 million,alliancestats.php?allianceid=1595,China,Untapped,Somewhat Large,http://blocgame.com/rankings.php?subregion=chi,13545 km 2,http://blocgame.com/stats.php?id=60811,81 Mbbl,10 Mbbl per month,,
PonyPenetrators,PonyPenetrator,http://blocgame.com/alliancestats.php?allianceid=1644,182k active personnel,30 ships,Persian Gulf War surplus,Gandhi-like,7 factories,Elite,last online 2 hours ago,rankings.php?subregion=chi,Inter/pol/,10 Hundred Tons per month,$4134 million,alliancestats.php?allianceid=1644,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,16111 km 2,http://blocgame.com/stats.php?id=52348,,7 Mbbl per month,,
Kebabis,Sultan Kebab,,7k active personnel,0 ships,First World War surplus,Questionable,1 factory,Standard,last online 151 hours ago,rankings.php?subregion=ara,,2 Hundred Tons per month,$4109 million,,Arabia,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=ara,22000 km 2,http://blocgame.com/stats.php?id=60765,,30 Mbbl per month,,
Ikang,Ikanjaket,,4k active personnel,0 ships,First World War surplus,Questionable,1 factory,Undisciplined Rabble,last online 151 hours ago,rankings.php?subregion=ind,,5 Hundred Tons per month,$4085 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,19404 km 2,http://blocgame.com/stats.php?id=60795,,8 Mbbl per month,,
bagelbeater,Destroyer1200,http://blocgame.com/alliancestats.php?allianceid=1644,96k active personnel,11 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 3 hours ago,rankings.php?subregion=ara,Inter/pol/,15 Hundred Tons per month,$4078 million,alliancestats.php?allianceid=1644,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,18739 km 2,http://blocgame.com/stats.php?id=60136,6179 Mbbl,17 Mbbl per month,1 Tons,
aloyler,aloylerrr,http://blocgame.com/alliancestats.php?allianceid=1595,100k active personnel,14 ships,Korean War surplus,Gandhi-like,5 factories,Good,last online 31 hours ago,rankings.php?subregion=ind,The High Council,21 Hundred Tons per month,$4007 million,alliancestats.php?allianceid=1595,East Indies,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60699,,14 Mbbl per month,,
Kukulala,Unkel,http://blocgame.com/alliancestats.php?allianceid=1595,43k active personnel,5 ships,Korean War surplus,Good,3 factories,Good,online now,rankings.php?subregion=sea,The High Council,28 Hundred Tons per month,$3999 million,alliancestats.php?allianceid=1595,Indochina,Near Depletion,Powerful,http://blocgame.com/rankings.php?subregion=sea,22944 km 2,http://blocgame.com/stats.php?id=60796,,14 Mbbl per month,,
Loki Land,Resurrect Dead,http://blocgame.com/alliancestats.php?allianceid=1595,47k active personnel,2 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 30 hours ago,rankings.php?subregion=mes,The High Council,9 Hundred Tons per month,$3985 million,alliancestats.php?allianceid=1595,Mesopotamia,Near Depletion,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,13973 km 2,http://blocgame.com/stats.php?id=60300,4791 Mbbl,8 Mbbl per month,,
Derpkins,Mr. Derp,http://blocgame.com/alliancestats.php?allianceid=1952,3k active personnel,11 ships,Second World War surplus,Normal,3 factories,Undisciplined Rabble,last online 152 hours ago,rankings.php?subregion=pac,The Eastern Sea,18 Hundred Tons per month,$3980 million,alliancestats.php?allianceid=1952,Pacific Rim,Untapped,Powerful,http://blocgame.com/rankings.php?subregion=pac,10742 km 2,http://blocgame.com/stats.php?id=59737,,19 Mbbl per month,,
M�rg,albertps,http://blocgame.com/alliancestats.php?allianceid=1595,8k active personnel,9 ships,Almost Modern,Nice,7 factories,Good,online now,rankings.php?subregion=ind,The High Council,57 Hundred Tons per month,$3964 million,alliancestats.php?allianceid=1595,East Indies,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,47315 km 2,http://blocgame.com/stats.php?id=58356,,18 Mbbl per month,,
FreeEastAfrica,Blanqui,http://blocgame.com/alliancestats.php?allianceid=1932,10k active personnel,12 ships,Korean War surplus,Gandhi-like,3 factories,Good,last online 69 hours ago,rankings.php?subregion=eaf,African Socialism,19 Hundred Tons per month,$3921 million,alliancestats.php?allianceid=1932,East Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=eaf,21084 km 2,http://blocgame.com/stats.php?id=60412,,11 Mbbl per month,,
Aminia,WashNats,http://blocgame.com/alliancestats.php?allianceid=1393,123k active personnel,7 ships,Korean War surplus,Gandhi-like,4 factories,Good,last online 42 hours ago,rankings.php?subregion=car,BAMF,20 Hundred Tons per month,$3915 million,alliancestats.php?allianceid=1393,Caribbean,,Very Powerful,http://blocgame.com/rankings.php?subregion=car,43301 km 2,http://blocgame.com/stats.php?id=59913,,19 Mbbl per month,,
Dutch Indies,Tony Lovink,http://blocgame.com/alliancestats.php?allianceid=1595,98k active personnel,13 ships,Almost Modern,Gandhi-like,4 factories,Standard,last online 1 hours ago,rankings.php?subregion=ind,The High Council,10 Hundred Tons per month,$3911 million,alliancestats.php?allianceid=1595,East Indies,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,44147 km 2,http://blocgame.com/stats.php?id=59424,,4 Mbbl per month,,
Kongasi,Din Diallo,,5k active personnel,1 ships,Korean War surplus,Questionable,2 factories,Elite,last online 5 hours ago,rankings.php?subregion=congo,,7 Hundred Tons per month,$3910 million,,Congo,,Meagre,http://blocgame.com/rankings.php?subregion=congo,6470 km 2,http://blocgame.com/stats.php?id=58832,,6 Mbbl per month,,
MakanBudak,amirulfaizal,http://blocgame.com/alliancestats.php?allianceid=1899,10k active personnel,2 ships,Second World War surplus,Normal,3 factories,Elite,last online 3 hours ago,rankings.php?subregion=ind,Aseang MMP,20 Hundred Tons per month,$3907 million,alliancestats.php?allianceid=1899,East Indies,Near Depletion,Meagre,http://blocgame.com/rankings.php?subregion=ind,16060 km 2,http://blocgame.com/stats.php?id=60748,,7 Mbbl per month,,
Violent Vegans,SnakeBombs,http://blocgame.com/alliancestats.php?allianceid=1583,267k active personnel,51 ships,Persian Gulf War surplus,Gandhi-like,13 factories,Elite,last online 6 hours ago,rankings.php?subregion=ama,The New Vegan Empire,40 Hundred Tons per month,$3888 million,alliancestats.php?allianceid=1583,Amazonia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ama,69553 km 2,http://blocgame.com/stats.php?id=48869,,,,
