country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil_reserves,uranium,reactor,reputation
Urosia,Lance Moroe,http://blocgame.com/alliancestats.php?allianceid=1644,43k active personnel,14 ships,Almost Modern,4 factories,Elite,last online 24 hours ago,rankings.php?subregion=saf,Inter/pol/,$6673 million,alliancestats.php?allianceid=1644,Southern Africa,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=saf,19216 km 2,http://blocgame.com/stats.php?id=57637,,,,Gandhi-like
Azhdahagate,Azhdaha_Panzer,http://blocgame.com/alliancestats.php?allianceid=1580,480k active personnel,51 ships,Persian Gulf War surplus,28 factories,Good,last online 32 hours ago,rankings.php?subregion=mes,Brotherhood of Nod,$6644 million,alliancestats.php?allianceid=1580,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,138081 km 2,http://blocgame.com/stats.php?id=52422,,21 Tons,,Gandhi-like
Seilomn,Charlie,http://blocgame.com/alliancestats.php?allianceid=1401,145k active personnel,5 ships,Second World War surplus,6 factories,Poor,last online 169 hours ago,rankings.php?subregion=gui,The Federal Colonies,$6625 million,alliancestats.php?allianceid=1401,Guinea,Untapped,Somewhat Large,http://blocgame.com/rankings.php?subregion=gui,46490 km 2,http://blocgame.com/stats.php?id=59997,,,,Gandhi-like
Taggart,Dagny,http://blocgame.com/alliancestats.php?allianceid=1401,135k active personnel,4 ships,Almost Modern,8 factories,Elite,last online 10 hours ago,rankings.php?subregion=gui,The Federal Colonies,$6614 million,alliancestats.php?allianceid=1401,Guinea,,Powerful,http://blocgame.com/rankings.php?subregion=gui,59335 km 2,http://blocgame.com/stats.php?id=59387,,,,Angelic
Rhod3sia,FreeMindInside,http://blocgame.com/alliancestats.php?allianceid=1568,262k active personnel,52 ships,Persian Gulf War surplus,9 factories,Good,last online 1 hours ago,rankings.php?subregion=saf,Brotherhood of Zion,$6612 million,alliancestats.php?allianceid=1568,Southern Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=saf,50842 km 2,http://blocgame.com/stats.php?id=52679,,,5%,Gandhi-like
Lebensraum,morrison1916,http://blocgame.com/alliancestats.php?allianceid=1644,169k active personnel,1 ships,Almost Modern,6 factories,Elite,online now,rankings.php?subregion=sub,Inter/pol/,$6596 million,alliancestats.php?allianceid=1644,The Subcontinent,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=sub,32083 km 2,http://blocgame.com/stats.php?id=3646,,,,Gandhi-like
Arizona,Layez,http://blocgame.com/alliancestats.php?allianceid=1393,5k active personnel,7 ships,Korean War surplus,4 factories,Standard,last online 188 hours ago,rankings.php?subregion=mex,BAMF,$6592 million,alliancestats.php?allianceid=1393,Mesoamerica,Untapped,Powerful,http://blocgame.com/rankings.php?subregion=mex,16805 km 2,http://blocgame.com/stats.php?id=56856,,,,Good
Snusers,Snuupy,http://blocgame.com/alliancestats.php?allianceid=1393,264k active personnel,8 ships,Almost Modern,19 factories,Elite,online now,rankings.php?subregion=chi,BAMF,$6592 million,alliancestats.php?allianceid=1393,China,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,115505 km 2,http://blocgame.com/stats.php?id=58336,,,,Good
Steel Beams,spacebunneh,http://blocgame.com/alliancestats.php?allianceid=1595,66k active personnel,7 ships,Vietnam War surplus,6 factories,Undisciplined Rabble,last online 68 hours ago,rankings.php?subregion=gra,The High Council,$6560 million,alliancestats.php?allianceid=1595,Gran Colombia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=gra,15283 km 2,http://blocgame.com/stats.php?id=55509,,,,Gandhi-like
Pingaslavia,CowsRTasty,http://blocgame.com/alliancestats.php?allianceid=1810,87k active personnel,26 ships,Persian Gulf War surplus,5 factories,Elite,last online 4 hours ago,rankings.php?subregion=gra,EUN,$6557 million,alliancestats.php?allianceid=1810,Gran Colombia,Near Depletion,Very Powerful,http://blocgame.com/rankings.php?subregion=gra,32292 km 2,http://blocgame.com/stats.php?id=6730,,,,Gandhi-like
Roman Empire,Trajan,http://blocgame.com/alliancestats.php?allianceid=1580,130k active personnel,2 ships,Vietnam War surplus,6 factories,Good,last online 43 hours ago,rankings.php?subregion=egy,Brotherhood of Nod,$6532 million,alliancestats.php?allianceid=1580,Egypt,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,22589 km 2,http://blocgame.com/stats.php?id=57846,5794 Mbbl,,,Gandhi-like
Andalusia,Michaelion,http://blocgame.com/alliancestats.php?allianceid=1393,167k active personnel,14 ships,Korean War surplus,6 factories,Elite,last online 9 hours ago,rankings.php?subregion=pac,BAMF,$6476 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,40607 km 2,http://blocgame.com/stats.php?id=46668,439 Mbbl,,5%,Gandhi-like
Soviet Greece,Ares Velouchiotis,http://blocgame.com/alliancestats.php?allianceid=1595,5k active personnel,9 ships,Second World War surplus,4 factories,Poor,last online 151 hours ago,rankings.php?subregion=sea,The High Council,$6461 million,alliancestats.php?allianceid=1595,Indochina,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=sea,18365 km 2,http://blocgame.com/stats.php?id=59170,,,,Questionable
Shadeistan,Colonel Gaddafi,http://blocgame.com/alliancestats.php?allianceid=1644,7k active personnel,9 ships,Vietnam War surplus,3 factories,Undisciplined Rabble,last online 75 hours ago,rankings.php?subregion=chi,Inter/pol/,$6416 million,alliancestats.php?allianceid=1644,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,23906 km 2,http://blocgame.com/stats.php?id=59361,433 Mbbl,,,Gandhi-like
Tr�pico,rumsod,http://blocgame.com/alliancestats.php?allianceid=1386,8k active personnel,4 ships,Korean War surplus,3 factories,Elite,online now,rankings.php?subregion=car,Che Guevara League,$6401 million,alliancestats.php?allianceid=1386,Caribbean,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=car,4812 km 2,http://blocgame.com/stats.php?id=1,65 Mbbl,,,Gandhi-like
Umbrella corp,Miss. Parks,http://blocgame.com/alliancestats.php?allianceid=1595,89k active personnel,15 ships,Almost Modern,5 factories,Elite,last online 73 hours ago,rankings.php?subregion=chi,The High Council,$6346 million,alliancestats.php?allianceid=1595,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,34544 km 2,http://blocgame.com/stats.php?id=54467,,,,Gandhi-like
Avarice,Mammon,http://blocgame.com/alliancestats.php?allianceid=1393,239k active personnel,23 ships,Persian Gulf War surplus,18 factories,Elite,online now,rankings.php?subregion=sub,BAMF,$6303 million,alliancestats.php?allianceid=1393,The Subcontinent,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=sub,85852 km 2,http://blocgame.com/stats.php?id=59516,,,,Pariah
The,metalmallowz,http://blocgame.com/alliancestats.php?allianceid=1382,373k active personnel,35 ships,Persian Gulf War surplus,14 factories,Elite,last online 1 hours ago,rankings.php?subregion=per,Non-Aligned Movement,$6281 million,alliancestats.php?allianceid=1382,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,106018 km 2,http://blocgame.com/stats.php?id=58004,,,,Gandhi-like
Nerdia,TheKyu,http://blocgame.com/alliancestats.php?allianceid=1580,126k active personnel,29 ships,Almost Modern,10 factories,Standard,online now,rankings.php?subregion=car,Brotherhood of Nod,$6279 million,alliancestats.php?allianceid=1580,Caribbean,Untapped,Powerful,http://blocgame.com/rankings.php?subregion=car,65381 km 2,http://blocgame.com/stats.php?id=56451,,,10%,Good
Subcon,Sybalus,http://blocgame.com/alliancestats.php?allianceid=1580,7k active personnel,16 ships,Vietnam War surplus,3 factories,Good,last online 145 hours ago,rankings.php?subregion=eaf,Brotherhood of Nod,$6222 million,alliancestats.php?allianceid=1580,East Africa,Untapped,Large,http://blocgame.com/rankings.php?subregion=eaf,9083 km 2,http://blocgame.com/stats.php?id=53099,8 Mbbl,,,Normal
Ishtar,Magnus Magnus,http://blocgame.com/alliancestats.php?allianceid=1580,199k active personnel,39 ships,Almost Modern,7 factories,Elite,last online 1 hours ago,rankings.php?subregion=mes,Brotherhood of Nod,$6170 million,alliancestats.php?allianceid=1580,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,29052 km 2,http://blocgame.com/stats.php?id=55882,,,,Gandhi-like
Reim,Azrael,http://blocgame.com/alliancestats.php?allianceid=1595,168k active personnel,21 ships,Vietnam War surplus,6 factories,Elite,last online 8 hours ago,rankings.php?subregion=pac,The High Council,$6118 million,alliancestats.php?allianceid=1595,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,39793 km 2,http://blocgame.com/stats.php?id=41073,,,,Gandhi-like
New Volkstaat,Endless Nameless,http://blocgame.com/alliancestats.php?allianceid=1644,93k active personnel,5 ships,Vietnam War surplus,5 factories,Elite,last online 116 hours ago,rankings.php?subregion=saf,Inter/pol/,$6084 million,alliancestats.php?allianceid=1644,Southern Africa,Untapped,Large,http://blocgame.com/rankings.php?subregion=saf,18292 km 2,http://blocgame.com/stats.php?id=59576,,,,Gandhi-like
Ultios,Noctis,http://blocgame.com/alliancestats.php?allianceid=1599,128k active personnel,3 ships,Korean War surplus,3 factories,Elite,last online 1 hours ago,rankings.php?subregion=pac,Wreckage brothers,$6069 million,alliancestats.php?allianceid=1599,Pacific Rim,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,39789 km 2,http://blocgame.com/stats.php?id=59917,,,,Gandhi-like
Arabic Union,Comrade Izy,http://blocgame.com/alliancestats.php?allianceid=1568,51k active personnel,1 ships,Korean War surplus,5 factories,Elite,last online 3 hours ago,rankings.php?subregion=mes,Brotherhood of Zion,$6041 million,alliancestats.php?allianceid=1568,Mesopotamia,Plentiful,Powerful,http://blocgame.com/rankings.php?subregion=mes,36169 km 2,http://blocgame.com/stats.php?id=59855,4017 Mbbl,,,Gandhi-like
I Am Mad,I Am Mad,http://blocgame.com/alliancestats.php?allianceid=1644,270k active personnel,51 ships,Vietnam War surplus,6 factories,Good,last online 4 hours ago,rankings.php?subregion=mes,Inter/pol/,$5985 million,alliancestats.php?allianceid=1644,Mesopotamia,Near Depletion,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,40307 km 2,http://blocgame.com/stats.php?id=58303,7805 Mbbl,,,Gandhi-like
king's landing,mannisbaratheon,http://blocgame.com/alliancestats.php?allianceid=1644,139k active personnel,25 ships,Persian Gulf War surplus,4 factories,Good,online now,rankings.php?subregion=sub,Inter/pol/,$5956 million,alliancestats.php?allianceid=1644,The Subcontinent,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=sub,40168 km 2,http://blocgame.com/stats.php?id=55616,,,,Gandhi-like
New Nederlands,William Mohamad,http://blocgame.com/alliancestats.php?allianceid=1568,138k active personnel,11 ships,Korean War surplus,5 factories,Good,online now,rankings.php?subregion=ara,Brotherhood of Zion,$5949 million,alliancestats.php?allianceid=1568,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,48144 km 2,http://blocgame.com/stats.php?id=59454,20740 Mbbl,,,Gandhi-like
Homo Mono,Homo Mono,http://blocgame.com/alliancestats.php?allianceid=1580,144k active personnel,12 ships,Korean War surplus,6 factories,Elite,last online 2 hours ago,rankings.php?subregion=ara,Brotherhood of Nod,$5942 million,alliancestats.php?allianceid=1580,Arabia,Untapped,Powerful,http://blocgame.com/rankings.php?subregion=ara,36094 km 2,http://blocgame.com/stats.php?id=59108,7248 Mbbl,,,Gandhi-like
Adrianopolis,XAdrianT,http://blocgame.com/alliancestats.php?allianceid=1568,203k active personnel,12 ships,Persian Gulf War surplus,16 factories,Good,last online 3 hours ago,rankings.php?subregion=ara,Brotherhood of Zion,$5923 million,alliancestats.php?allianceid=1568,Arabia,,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,78527 km 2,http://blocgame.com/stats.php?id=55912,,,5%,Gandhi-like
Gīlān,Kuchik Gul,http://blocgame.com/alliancestats.php?allianceid=1704,160k active personnel,-1 ships,Korean War surplus,3 factories,Elite,last online 35 hours ago,rankings.php?subregion=per,Kekolutionaries,$5897 million,alliancestats.php?allianceid=1704,Persia,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=per,2261 km 2,http://blocgame.com/stats.php?id=54430,1678 Mbbl,,,Gandhi-like
Aztlan,Spic,http://blocgame.com/alliancestats.php?allianceid=1393,3k active personnel,0 ships,Vietnam War surplus,3 factories,Standard,last online 49 hours ago,rankings.php?subregion=ara,BAMF,$5861 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Powerful,http://blocgame.com/rankings.php?subregion=ara,5893 km 2,http://blocgame.com/stats.php?id=40023,10727 Mbbl,,,Normal
Sepidajistan,Shah Squid,http://blocgame.com/alliancestats.php?allianceid=1382,119k active personnel,11 ships,Korean War surplus,5 factories,Elite,last online 8 hours ago,rankings.php?subregion=atl,Non-Aligned Movement,$5831 million,alliancestats.php?allianceid=1382,Atlas,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,16822 km 2,http://blocgame.com/stats.php?id=59462,,,,Gandhi-like
DynamicMemes,mememan69,http://blocgame.com/alliancestats.php?allianceid=1580,158k active personnel,24 ships,Vietnam War surplus,5 factories,Good,last online 43 hours ago,rankings.php?subregion=saf,Brotherhood of Nod,$5721 million,alliancestats.php?allianceid=1580,Southern Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=saf,25710 km 2,http://blocgame.com/stats.php?id=57005,,,5%,Gandhi-like
Dragon Stone,Mannis,http://blocgame.com/alliancestats.php?allianceid=1644,191k active personnel,23 ships,Almost Modern,7 factories,Elite,online now,rankings.php?subregion=sub,Inter/pol/,$5679 million,alliancestats.php?allianceid=1644,The Subcontinent,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=sub,31085 km 2,http://blocgame.com/stats.php?id=54852,,,,Gandhi-like
The Wired,LAIN,http://blocgame.com/alliancestats.php?allianceid=1599,357k active personnel,20 ships,Advanced,14 factories,Good,last online 170 hours ago,rankings.php?subregion=ara,Wreckage brothers,$5655 million,alliancestats.php?allianceid=1599,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,61784 km 2,http://blocgame.com/stats.php?id=53298,,,5%,Gandhi-like
Waiwud Iwanem,Hasaki Enkou,http://blocgame.com/alliancestats.php?allianceid=1899,148k active personnel,7 ships,Persian Gulf War surplus,7 factories,Standard,last online 74 hours ago,rankings.php?subregion=ind,Aseang MMP,$5622 million,alliancestats.php?allianceid=1899,East Indies,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,23498 km 2,http://blocgame.com/stats.php?id=54484,,,,Gandhi-like
Viktoria,gracious leader skylar,http://blocgame.com/alliancestats.php?allianceid=1393,111k active personnel,5 ships,Vietnam War surplus,9 factories,Elite,last online 6 hours ago,rankings.php?subregion=pac,BAMF,$5591 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,43728 km 2,http://blocgame.com/stats.php?id=40188,,,,Gandhi-like
New Canaan,Joshua Graham,http://blocgame.com/alliancestats.php?allianceid=1595,113k active personnel,3 ships,Vietnam War surplus,6 factories,Elite,online now,rankings.php?subregion=mes,The High Council,$5577 million,alliancestats.php?allianceid=1595,Mesopotamia,Plentiful,Somewhat Large,http://blocgame.com/rankings.php?subregion=mes,36071 km 2,http://blocgame.com/stats.php?id=59416,,,,Gandhi-like
Kindred,Pendraggon,http://blocgame.com/alliancestats.php?allianceid=1644,207k active personnel,12 ships,Almost Modern,9 factories,Good,last online 5 hours ago,rankings.php?subregion=pac,Inter/pol/,$5548 million,alliancestats.php?allianceid=1644,Pacific Rim,Untapped,Powerful,http://blocgame.com/rankings.php?subregion=pac,54201 km 2,http://blocgame.com/stats.php?id=58449,,,,Gandhi-like
Reikland,Karl-Franz I,http://blocgame.com/alliancestats.php?allianceid=1595,82k active personnel,16 ships,Vietnam War surplus,2 factories,Good,online now,rankings.php?subregion=per,The High Council,$5548 million,alliancestats.php?allianceid=1595,Persia,Untapped,Powerful,http://blocgame.com/rankings.php?subregion=per,16172 km 2,http://blocgame.com/stats.php?id=58781,6591 Mbbl,,,Gandhi-like
One Star,Neku,http://blocgame.com/alliancestats.php?allianceid=1595,138k active personnel,10 ships,Vietnam War surplus,6 factories,Elite,last online 38 hours ago,rankings.php?subregion=per,The High Council,$5517 million,alliancestats.php?allianceid=1595,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,39160 km 2,http://blocgame.com/stats.php?id=57783,,,,Gandhi-like
Weeksy,Andyrewwer,http://blocgame.com/alliancestats.php?allianceid=1418,95k active personnel,12 ships,Vietnam War surplus,7 factories,Elite,online now,rankings.php?subregion=chi,Asian Alliance,$5443 million,alliancestats.php?allianceid=1418,China,,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,69737 km 2,http://blocgame.com/stats.php?id=43381,,,,Isolated
Alien Ant Farm,Smooth Criminal,http://blocgame.com/alliancestats.php?allianceid=1401,122k active personnel,12 ships,Vietnam War surplus,6 factories,Standard,online now,rankings.php?subregion=ind,The Federal Colonies,$5403 million,alliancestats.php?allianceid=1401,East Indies,Near Depletion,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,42407 km 2,http://blocgame.com/stats.php?id=58135,7 Mbbl,,,Gandhi-like
switzerdouch,yaboimtndew,http://blocgame.com/alliancestats.php?allianceid=1595,30k active personnel,0 ships,Second World War surplus,3 factories,Elite,last online 41 hours ago,rankings.php?subregion=mex,The High Council,$5402 million,alliancestats.php?allianceid=1595,Mesoamerica,Untapped,Powerful,http://blocgame.com/rankings.php?subregion=mex,17075 km 2,http://blocgame.com/stats.php?id=58997,25 Mbbl,,,Questionable
Amazonian Union,Hugo Chavez,http://blocgame.com/alliancestats.php?allianceid=1568,47k active personnel,8 ships,Korean War surplus,3 factories,Elite,online now,rankings.php?subregion=ama,Brotherhood of Zion,$5388 million,alliancestats.php?allianceid=1568,Amazonia,Untapped,Large,http://blocgame.com/rankings.php?subregion=ama,17040 km 2,http://blocgame.com/stats.php?id=59377,,,,Gandhi-like
Sariis,Bavilin,http://blocgame.com/alliancestats.php?allianceid=1595,76k active personnel,5 ships,Korean War surplus,4 factories,Good,last online 24 hours ago,rankings.php?subregion=atl,The High Council,$5346 million,alliancestats.php?allianceid=1595,Atlas,Untapped,Somewhat Large,http://blocgame.com/rankings.php?subregion=atl,29071 km 2,http://blocgame.com/stats.php?id=60186,6120 Mbbl,,5%,Gandhi-like
Camcost,hunthalo,http://blocgame.com/alliancestats.php?allianceid=1580,143k active personnel,11 ships,Korean War surplus,5 factories,Good,online now,rankings.php?subregion=egy,Brotherhood of Nod,$5336 million,alliancestats.php?allianceid=1580,Egypt,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,31087 km 2,http://blocgame.com/stats.php?id=56890,3233 Mbbl,,,Gandhi-like
Iskut,ASV1,http://blocgame.com/alliancestats.php?allianceid=1393,65k active personnel,1 ships,Vietnam War surplus,3 factories,Standard,last online 104 hours ago,rankings.php?subregion=con,BAMF,$5300 million,alliancestats.php?allianceid=1393,Southern Cone,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=con,32130 km 2,http://blocgame.com/stats.php?id=58457,,,,Gandhi-like
Al Kebab,John Zoidberg,http://blocgame.com/alliancestats.php?allianceid=1393,107k active personnel,10 ships,Korean War surplus,5 factories,Elite,last online 10 hours ago,rankings.php?subregion=mes,BAMF,$5297 million,alliancestats.php?allianceid=1393,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,35750 km 2,http://blocgame.com/stats.php?id=59392,,,,Gandhi-like
Romanovia,Dmitry Romanov,http://blocgame.com/alliancestats.php?allianceid=1393,111k active personnel,13 ships,Korean War surplus,3 factories,Standard,last online 2 hours ago,rankings.php?subregion=mes,BAMF,$5260 million,alliancestats.php?allianceid=1393,Mesopotamia,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,28219 km 2,http://blocgame.com/stats.php?id=59571,1517 Mbbl,,,Good
Parz,Charles8,http://blocgame.com/alliancestats.php?allianceid=1595,26k active personnel,4 ships,First World War surplus,4 factories,Elite,last online 4 hours ago,rankings.php?subregion=mes,The High Council,$5255 million,alliancestats.php?allianceid=1595,Mesopotamia,Near Depletion,Somewhat Large,http://blocgame.com/rankings.php?subregion=mes,25555 km 2,http://blocgame.com/stats.php?id=59868,1993 Mbbl,,,Good
Yummy Foods,iiruka,http://blocgame.com/alliancestats.php?allianceid=1382,394k active personnel,51 ships,Advanced,18 factories,Elite,last online 3 hours ago,rankings.php?subregion=pac,Non-Aligned Movement,$5240 million,alliancestats.php?allianceid=1382,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,123626 km 2,http://blocgame.com/stats.php?id=54376,,,,Gandhi-like
Conferan,Cryptox,http://blocgame.com/alliancestats.php?allianceid=1595,218k active personnel,24 ships,Almost Modern,6 factories,Standard,last online 4 hours ago,rankings.php?subregion=ind,The High Council,$5239 million,alliancestats.php?allianceid=1595,East Indies,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,27848 km 2,http://blocgame.com/stats.php?id=56710,,,,Gandhi-like
Cena Nation WWE,John Cena of WWE,http://blocgame.com/alliancestats.php?allianceid=1644,179k active personnel,20 ships,Almost Modern,7 factories,Good,last online 6 hours ago,rankings.php?subregion=egy,Inter/pol/,$5223 million,alliancestats.php?allianceid=1644,Egypt,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,39085 km 2,http://blocgame.com/stats.php?id=55959,,,,Gandhi-like
Gillen,Gillen,http://blocgame.com/alliancestats.php?allianceid=1580,140k active personnel,0 ships,Second World War surplus,5 factories,Good,last online 92 hours ago,rankings.php?subregion=ara,Brotherhood of Nod,$5149 million,alliancestats.php?allianceid=1580,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,17027 km 2,http://blocgame.com/stats.php?id=54335,,,,Gandhi-like
Ketroyla,Erolvant,http://blocgame.com/alliancestats.php?allianceid=1580,99k active personnel,9 ships,Vietnam War surplus,3 factories,Standard,last online 35 hours ago,rankings.php?subregion=sea,Brotherhood of Nod,$5143 million,alliancestats.php?allianceid=1580,Indochina,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=sea,15692 km 2,http://blocgame.com/stats.php?id=55951,,,,Gandhi-like
Marijuana,Weed is Good the III,http://blocgame.com/alliancestats.php?allianceid=1580,104k active personnel,13 ships,Vietnam War surplus,6 factories,Elite,online now,rankings.php?subregion=car,Brotherhood of Nod,$5115 million,alliancestats.php?allianceid=1580,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,32204 km 2,http://blocgame.com/stats.php?id=56663,,,,Good
Geli Kurd,Rando,http://blocgame.com/alliancestats.php?allianceid=1568,208k active personnel,34 ships,Advanced,9 factories,Good,last online 37 hours ago,rankings.php?subregion=mes,Brotherhood of Zion,$5054 million,alliancestats.php?allianceid=1568,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,80630 km 2,http://blocgame.com/stats.php?id=47768,4902 Mbbl,,,Gandhi-like
woosha,blaatje,http://blocgame.com/alliancestats.php?allianceid=1644,431k active personnel,51 ships,Advanced,14 factories,Good,last online 1 hours ago,rankings.php?subregion=egy,Inter/pol/,$5054 million,alliancestats.php?allianceid=1644,Egypt,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,83222 km 2,http://blocgame.com/stats.php?id=58158,,,,Gandhi-like
Republic Dank,Dank de von Psstoyeur,http://blocgame.com/alliancestats.php?allianceid=1580,123k active personnel,7 ships,Korean War surplus,5 factories,Elite,last online 2 hours ago,rankings.php?subregion=ara,Brotherhood of Nod,$5044 million,alliancestats.php?allianceid=1580,Arabia,Untapped,Powerful,http://blocgame.com/rankings.php?subregion=ara,15738 km 2,http://blocgame.com/stats.php?id=58562,,,,Gandhi-like
Rararaland,Whiskertoes,http://blocgame.com/alliancestats.php?allianceid=1810,5k active personnel,6 ships,Almost Modern,3 factories,Standard,last online 140 hours ago,rankings.php?subregion=ara,EUN,$5018 million,alliancestats.php?allianceid=1810,Arabia,Untapped,Large,http://blocgame.com/rankings.php?subregion=ara,6700 km 2,http://blocgame.com/stats.php?id=49272,,,,Questionable
Argos,Arkadios,http://blocgame.com/alliancestats.php?allianceid=1382,15k active personnel,7 ships,Almost Modern,3 factories,Undisciplined Rabble,last online 192 hours ago,rankings.php?subregion=chi,Non-Aligned Movement,$5017 million,alliancestats.php?allianceid=1382,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,54311 km 2,http://blocgame.com/stats.php?id=43443,,,,Normal
kabdy,NitroBAY,http://blocgame.com/alliancestats.php?allianceid=1595,255k active personnel,25 ships,Almost Modern,9 factories,Undisciplined Rabble,last online 47 hours ago,rankings.php?subregion=ama,The High Council,$5010 million,alliancestats.php?allianceid=1595,Amazonia,Untapped,Powerful,http://blocgame.com/rankings.php?subregion=ama,37856 km 2,http://blocgame.com/stats.php?id=58731,,,,Gandhi-like
iljohn,iljohn,http://blocgame.com/alliancestats.php?allianceid=1952,57k active personnel,1 ships,Korean War surplus,3 factories,Undisciplined Rabble,last online 28 hours ago,rankings.php?subregion=pac,The Eastern Sea,$4971 million,alliancestats.php?allianceid=1952,Pacific Rim,Near Depletion,Small,http://blocgame.com/rankings.php?subregion=pac,25584 km 2,http://blocgame.com/stats.php?id=59945,,,,Gandhi-like
Great Manasa,Haus Omana,http://blocgame.com/alliancestats.php?allianceid=1644,107k active personnel,9 ships,Vietnam War surplus,3 factories,Good,last online 60 hours ago,rankings.php?subregion=mes,Inter/pol/,$4966 million,alliancestats.php?allianceid=1644,Mesopotamia,Untapped,Large,http://blocgame.com/rankings.php?subregion=mes,17545 km 2,http://blocgame.com/stats.php?id=58697,,,,Gandhi-like
Chicken&Chips,Dave Miles,http://blocgame.com/alliancestats.php?allianceid=1393,53k active personnel,1 ships,Korean War surplus,5 factories,Elite,last online 3 hours ago,rankings.php?subregion=chi,BAMF,$4932 million,alliancestats.php?allianceid=1393,China,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,42267 km 2,http://blocgame.com/stats.php?id=60847,259 Mbbl,,,Angelic
Seinlandia,CosKramer,http://blocgame.com/alliancestats.php?allianceid=1595,80k active personnel,4 ships,Second World War surplus,4 factories,Good,last online 45 hours ago,rankings.php?subregion=mex,The High Council,$4886 million,alliancestats.php?allianceid=1595,Mesoamerica,Untapped,Large,http://blocgame.com/rankings.php?subregion=mex,34945 km 2,http://blocgame.com/stats.php?id=50309,623 Mbbl,,,Gandhi-like
Horgrif,roxim teaga,http://blocgame.com/alliancestats.php?allianceid=1568,73k active personnel,0 ships,Vietnam War surplus,4 factories,Elite,last online 4 hours ago,rankings.php?subregion=ama,Brotherhood of Zion,$4880 million,alliancestats.php?allianceid=1568,Amazonia,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=ama,24126 km 2,http://blocgame.com/stats.php?id=55571,197 Mbbl,,,Gandhi-like
Plob,plox,http://blocgame.com/alliancestats.php?allianceid=1580,178k active personnel,15 ships,Vietnam War surplus,6 factories,Elite,online now,rankings.php?subregion=ara,Brotherhood of Nod,$4872 million,alliancestats.php?allianceid=1580,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,39985 km 2,http://blocgame.com/stats.php?id=58260,2775 Mbbl,,,Gandhi-like
